hour,t_outdoor
7762,2.546583333
7763,2.546583333
7764,3.8855
7765,3.8855
7766,3.8855
7767,3.60175
7768,3.60175
7769,3.60175
7770,3.226875
7771,3.226875
7772,3.226875
7773,3.270458333
7774,3.270458333
7775,3.270458333
7776,3.440541667
7777,3.440541667
7778,3.440541667
7779,3.758666667
7780,3.758666667
7781,3.758666667
7782,4.342166667
7783,4.342166667
7784,4.342166667
7785,6.362541667
7786,6.362541667
7787,6.362541667
7788,8.770625
7789,8.770625
7790,8.770625
7791,8.486875
7792,8.486875
7793,8.486875
7794,8.055
7795,8.055
7796,8.055
7797,8.232458333
7798,8.232458333
7799,8.232458333
7800,8.74775
7801,8.74775
7802,8.74775
7803,9.241791667
7804,9.241791667
7805,9.241791667
7806,9.343041667
7807,9.343041667
7808,9.343041667
7809,10.31254167
7810,10.31254167
7811,10.31254167
7812,10.79783333
7813,10.79783333
7814,10.79783333
7815,9.875625
7816,9.875625
7817,9.875625
7818,8.766583333
7819,8.766583333
7820,8.766583333
7821,7.745
7822,7.745
7823,7.745
7824,6.545208333
7825,6.545208333
7826,6.545208333
7827,5.904166667
7828,5.904166667
7829,5.904166667
7830,5.19425
7831,5.19425
7832,5.19425
7833,6.469375
7834,6.469375
7835,6.469375
7836,8.071458333
7837,8.071458333
7838,8.071458333
7839,7.710458333
7840,7.710458333
7841,7.710458333
7842,7.144333333
7843,7.144333333
7844,7.144333333
7845,6.465541667
7846,6.465541667
7847,6.465541667
7848,5.826208333
7849,5.826208333
7850,5.826208333
7851,5.243875
7852,5.243875
7853,5.243875
7854,5.240291667
7855,5.240291667
7856,5.240291667
7857,6.249166667
7858,6.249166667
7859,6.249166667
7860,7.507875
7861,7.507875
7862,7.507875
7863,6.917666667
7864,6.917666667
7865,6.917666667
7866,6.322625
7867,6.322625
7868,6.322625
7869,5.653
7870,5.653
7871,5.653
7872,4.804291667
7873,4.804291667
7874,4.804291667
7875,4.022041667
7876,4.022041667
7877,4.022041667
7878,3.414208333
7879,3.414208333
7880,3.414208333
7881,3.512375
7882,3.512375
7883,3.512375
7884,3.690708333
7885,3.690708333
7886,3.690708333
7887,2.98925
7888,2.98925
7889,2.98925
7890,2.391791667
7891,2.391791667
